1557.269972,51,0,30,35,67128,32524,539562,1561234,119519,307836,77680,702023,16:38.3,201626,43347812,-79874240,787,661,272,1.33
1558.360942,51,0,30,35,67128,32524,539562,1561234,119519,307836,77680,702023,16:39.4,201627,43347868,-79874152,787,661,358,1.75
1559.451189,51,0,30,35,67128,32524,539562,1561234,119519,307836,77680,702023,16:40.5,201628,43347936,-79874080,787,661,206,1.01
1560.578016,0,0,21,24,1235,740,721,310030,779,1789,1318,25320,16:41.6,201629,43348008,-79873984,787,661,320,1.56
1561.694382,0,0,21,35,59071,24758,55792,367056,30281,169340,64046,74076,16:42.7,201630,43348088,-79873896,787,661,302,1.48
1562.808912,0,0,21,41,1013,1218,2075,207293,1297,6904,2033,16900,16:43.8,201631,43348180,-79873776,787,661,269,1.31
1563.910364,0,0,30,50,2004,924,2323,105389,1445,4397,5726,11623,16:44.9,201632,43348268,-79873672,787,661,309,1.51
1565.059622,0,48,30,50,2004,924,2323,105389,1445,4397,5726,11623,16:46.0,201633,43348356,-79873560,787,661,246,1.2
1566.145298,0,0,56,48,2084,767,1335,296265,6781,25833,6590,58268,16:47.1,201634,43348452,-79873432,787,661,279,1.36
1567.270116,0,0,51,54,12596,13945,38505,343009,9436,60135,16454,112242,16:48.3,201634,43348648,-79873168,787,661,283,1.38
1568.352165,0,0,26,30,46,48,269,90518,238,1190,118,10991,16:49.3,201637,43348756,-79873040,787,661,253,1.24
1569.459546,25,0,26,30,3793,1515,14875,928929,16023,12940,12916,23728,16:50.4,201638,43348868,-79872896,787,661,278,1.36
1570.547672,0,0,13,48,459,186,3362,50922,756,3854,1647,7594,16:51.5,201639,43348976,-79872752,787,661,236,1.15
1571.657673,0,0,17,44,2099,863,2193,136415,1891,8001,13271,24205,16:52.6,201640,43349088,-79872608,787,661,247,1.21
1572.761445,0,0,17,44,2099,863,2193,136415,1891,8001,13271,24205,16:53.7,201641,43349192,-79872456,787,661,250,1.22
1573.834356,0,0,17,44,2099,863,2193,136415,1891,8001,13271,24205,16:54.9,201642,43349292,-79872344,787,661,217,1.06
1574.971015,0,0,30,44,995,998,2698,220407,1465,24957,6690,52376,16:56.0,201643,43349372,-79872232,787,661,264,1.29
1576.09622,0,47,30,44,995,998,2698,220407,1465,24957,6690,52376,16:57.1,201644,43349436,-79872160,787,661,224,1.09
1577.190577,0,0,21,30,1501,1675,4689,128769,2753,7438,4142,52058,16:58.2,201644,43349436,-79872160,787,661,229,1.12
1578.300574,0,0,30,27,1265,763,3287,29381,5276,3588,6638,27891,16:59.3,201647,43349528,-79872040,787,661,280,1.37
1579.392384,0,70,30,27,1265,763,3287,29381,5276,3588,6638,27891,17:00.4,201648,43349528,-79872040,787,661,237,1.16
1580.509619,0,0,10,27,1485,1006,11567,709201,3884,22383,9133,136599,17:01.5,201649,43349528,-79872040,787,661,299,1.46
1581.625303,0,0,38,34,2019,1209,3800,119782,4184,5253,1925,5952,17:02.6,201650,43349520,-79872040,787,661,294,1.44
1582.726487,0,239,38,34,2019,1209,3800,119782,4184,5253,1925,5952,17:03.7,201651,43349520,-79872040,787,661,255,1.25
1583.825876,51,0,38,34,9091,6695,83596,1727424,33362,10292,25567,59546,17:04.8,201652,43349512,-79872024,787,661,302,1.48
1584.933599,0,0,43,24,928,478,2894,452135,3068,583,5311,38472,17:05.9,201653,43349504,-79872024,787,661,245,1.2
1586.027566,0,0,48,35,2925,985,5079,338613,4839,9702,6189,24120,17:07.0,201654,43349504,-79872024,787,661,280,1.37
1587.142586,0,0,41,53,3359,2749,16772,28685,14278,8496,2189,22777,17:08.1,201655,43349496,-79872024,787,661,311,1.52
1588.244694,0,0,29,61,1724,806,11352,101185,1982,10911,957,9743,17:09.2,201657,43349496,-79872024,787,661,261,1.28
1589.360111,0,61,29,61,1724,806,11352,101185,1982,10911,957,9743,17:10.3,201658,43349488,-79872016,787,661,318,1.55
1590.447651,0,0,30,41,2390,1594,7298,135666,6317,2864,7952,127591,17:11.5,201659,43349480,-79872016,787,661,271,1.32
1591.610323,0,0,30,41,2390,1594,7298,135666,6317,2864,7952,127591,17:12.6,201700,43349480,-79871992,787,661,257,1.26
1592.694488,0,0,30,41,2390,1594,7298,135666,6317,2864,7952,127591,17:13.7,201701,43349472,-79871992,787,661,308,1.51
1593.81099,0,0,61,29,2739,1098,2673,48613,9030,8904,17662,71735,17:14.8,201702,43349472,-79871992,787,661,257,1.26
1594.905527,0,73,61,29,2739,1098,2673,48613,9030,8904,17662,71735,17:15.9,201703,43349472,-79871992,787,661,310,1.52
1596.016002,0,67,61,29,2739,1098,2673,48613,9030,8904,17662,71735,17:17.0,201704,43349472,-79871992,787,661,315,1.54
1597.125047,0,0,47,26,276,129,2290,94703,630,2568,1505,17854,17:18.1,201705,43349472,-79871992,787,661,291,1.42
1598.256361,0,0,37,41,1239,1210,11039,45795,5274,57219,6741,19714,17:19.2,201705,43349472,-79871992,787,661,429,2.1
1599.340916,51,0,37,41,8392,1766,46462,1834168,75623,72048,159185,81809,17:20.3,201708,43349480,-79872016,787,661,286,1.4
1600.446372,25,0,37,41,2951,1243,25952,362071,27100,8910,16621,180221,17:21.4,201709,43349488,-79872016,787,661,242,1.18
1601.590184,0,0,26,63,1483,4087,12887,144165,4956,24047,7071,70953,17:22.6,201710,43349528,-79871976,787,661,321,1.57
1602.726,0,0,16,44,241,171,2059,230424,825,5653,3782,22764,17:23.7,201711,43349576,-79871936,787,661,302,1.48
